ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2011-09-30,93,10,15.0,2.34,0.20000000000000004,0.7500000000000001,0.35000000000000003,4.5,0.2857142857142857,0.9,0.0,0.4337349397590362,36.9078947368421,7.884868421052631,1.1776973684210528,1.1575657894736842,0.3992763157894737,0.0,0.0,0.0,1.08,11.0,6.119449225473322,12.08
2011-10-31,94,11,22.0,3.15,0.4000000000000001,1.02,0.42000000000000004,5.1923076923076925,0.2857142857142857,0.45,0.0,0.4337349397590362,67.10526315789474,16.776315789473685,6.411907894736843,1.6776315789473684,0.44625000000000004,0.0,0.0,0.0,1.7999999999999998,100.0,6.3617569177810145,101.8
2011-11-30,95,12,18.0,3.42,0.4000000000000001,0.9900000000000001,0.21000000000000002,5.1923076923076925,0.2857142857142857,0.45,0.0,0.2168674698795181,51.0,12.24671052631579,1.897401315789474,1.1407894736842106,0.587171052631579,0.0,0.0,0.0,1.08,33.0,6.144889447901496,34.08
2011-12-31,96,1,14.0,2.88,0.25000000000000006,0.8400000000000001,0.21000000000000002,3.8076923076923075,0.2857142857142857,0.45,0.0,0.4337349397590362,45.63157894736842,9.5625,1.1122697368421055,1.1072368421052632,0.6576315789473685,0.0,0.0,0.0,1.08,20.0,4.9771415331656295,21.08
2012-01-31,97,2,19.0,2.88,0.20000000000000004,0.8700000000000001,0.21000000000000002,3.8076923076923075,0.2857142857142857,0.45,0.0,0.4337349397590362,36.23684210526316,7.213815789473684,0.7851315789473685,0.8723684210526316,0.5167105263157895,0.0,0.0,0.0,0.72,14.0,4.9771415331656295,14.72
2012-02-29,98,3,16.0,2.61,0.20000000000000004,0.78,0.14,3.1153846153846154,0.2857142857142857,0.45,0.0,0.2168674698795181,30.19736842105263,5.703947368421052,0.6542763157894738,0.9226973684210527,0.587171052631579,0.0,0.0,0.0,0.72,11.0,4.067966370978419,11.72
2012-03-31,99,4,15.0,2.6999999999999997,0.20000000000000004,0.8400000000000001,0.14,3.1153846153846154,0.2857142857142857,0.45,0.0,0.2168674698795181,28.855263157894736,5.200657894736842,0.5888486842105264,0.8555921052631579,0.3992763157894737,0.0,0.0,0.0,0.72,9.0,4.067966370978419,9.72
2012-04-30,100,5,12.0,2.25,0.20000000000000004,0.7500000000000001,0.14,3.1153846153846154,0.2857142857142857,0.45,0.0,0.2168674698795181,30.19736842105263,5.032894736842105,0.45799342105263163,0.8555921052631579,0.49322368421052637,0.0,0.0,0.0,0.72,5.0,4.067966370978419,5.72
2012-05-31,101,6,11.0,2.25,0.20000000000000004,0.66,0.21000000000000002,2.769230769230769,0.2857142857142857,0.45,0.0,0.2168674698795181,39.59210526315789,4.529605263157895,0.45799342105263163,0.8220394736842105,0.3053289473684211,0.0,0.0,0.0,0.72,4.0,3.721812524824573,4.72
2012-06-30,102,7,10.0,1.44,0.20000000000000004,0.6000000000000001,0.14,2.769230769230769,0.2857142857142857,0.45,0.0,0.2168674698795181,26.171052631578945,3.8585526315789473,0.39256578947368426,0.7046052631578947,0.09394736842105264,0.0,0.0,0.0,0.72,3.0,3.721812524824573,3.7199999999999998
